Nama,Masuk,Keluar,Duration,Coba
DeleteAllJSON,11:02:31,11:02:31,0.514,1
DeleteAllJSON,14:05:02,14:05:02,0.000,2
DeleteAllJSON,14:05:12,14:05:12,1.566,3
DeleteAllJSON,14:05:19,14:05:19,0.638,4
DeleteAllJSON,14:05:27,14:05:27,0.581,5
DeleteAllJSON,14:05:34,14:05:34,0.506,6
DeleteAllJSON,14:05:42,14:05:42,0.980,7
DeleteAllJSON,14:06:06,14:06:06,0.865,8
DeleteAllJSON,14:06:14,14:06:14,0.565,9
DeleteAllJSON,14:06:21,14:06:21,0.610,10
DeleteAllJSON,14:06:28,14:06:28,1.557,11
DeleteAllJSON,14:06:35,14:06:35,0.511,12
DeleteAllJSON,14:06:42,14:06:42,0.507,13
DeleteAllJSON,14:06:48,14:06:48,0.576,14
DeleteAllJSON,14:06:55,14:06:55,0.568,15
DeleteAllJSON,14:07:08,14:07:08,0.567,16
DeleteAllJSON,14:07:15,14:07:15,0.573,17
DeleteAllJSON,14:07:21,14:07:21,0.604,18
DeleteAllJSON,14:08:12,14:08:12,0.564,19
DeleteAllJSON,14:08:19,14:08:19,0.506,20
DeleteAllJSON,14:08:26,14:08:26,0.569,21
DeleteAllJSON,14:08:35,14:08:35,0.572,22
DeleteAllJSON,14:08:47,14:08:47,0.595,23
DeleteAllJSON,14:08:55,14:08:55,0.536,24
DeleteAllJSON,14:09:04,14:09:04,0.505,25
DeleteAllJSON,14:09:11,14:09:11,0.590,26
DeleteAllJSON,14:09:18,14:09:18,0.543,27
DeleteAllJSON,14:09:25,14:09:25,0.507,28
DeleteAllJSON,14:09:38,14:09:38,0.642,29
DeleteAllJSON,14:09:44,14:09:44,0.560,30
DeleteAllPostgreSQL,14:04:07,14:04:07,3.081,1
DeleteAllPostgreSQL,14:05:00,14:05:00,1.511,2
DeleteAllPostgreSQL,14:05:13,14:05:13,1.514,3
DeleteAllPostgreSQL,14:05:21,14:05:21,1.532,4
DeleteAllPostgreSQL,14:05:28,14:05:28,1.537,5
DeleteAllPostgreSQL,14:05:36,14:05:36,1.510,6
DeleteAllPostgreSQL,14:05:43,14:05:43,2.070,7
DeleteAllPostgreSQL,14:06:08,14:06:08,2.512,8
DeleteAllPostgreSQL,14:06:16,14:06:16,1.557,9
DeleteAllPostgreSQL,14:06:23,14:06:23,1.552,10
DeleteAllPostgreSQL,14:06:29,14:06:29,1.516,11
DeleteAllPostgreSQL,14:06:36,14:06:36,2.581,12
DeleteAllPostgreSQL,14:06:43,14:06:43,2.921,13
DeleteAllPostgreSQL,14:06:49,14:06:49,2.513,14
DeleteAllPostgreSQL,14:06:56,14:06:56,1.115,15
DeleteAllPostgreSQL,14:07:09,14:07:09,1.029,16
DeleteAllPostgreSQL,14:07:16,14:07:16,1.692,17
DeleteAllPostgreSQL,14:07:23,14:07:23,1.510,18
DeleteAllPostgreSQL,14:08:14,14:08:14,1.519,19
DeleteAllPostgreSQL,14:08:21,14:08:21,1.550,20
DeleteAllPostgreSQL,14:08:28,14:08:28,1.589,21
DeleteAllPostgreSQL,14:08:36,14:08:36,1.513,22
DeleteAllPostgreSQL,14:08:48,14:08:48,1.547,23
DeleteAllPostgreSQL,14:08:57,14:08:57,1.541,24
DeleteAllPostgreSQL,14:09:06,14:09:06,2.085,25
DeleteAllPostgreSQL,14:09:12,14:09:12,1.520,26
DeleteAllPostgreSQL,14:09:19,14:09:19,1.512,27
DeleteAllPostgreSQL,14:09:26,14:09:26,1.511,28
DeleteAllPostgreSQL,14:09:39,14:09:39,1.106,29
DeleteAllPostgreSQL,14:09:46,14:09:46,1.545,30
DeleteByIDJSON,11:01:28,11:01:28,6.986,1
DeleteByIDJSON,11:01:29,11:01:29,7.979,2
DeleteByIDJSON,11:01:31,11:01:31,7.667,3
DeleteByIDJSON,11:01:32,11:01:32,7.859,4
DeleteByIDJSON,11:01:34,11:01:34,7.763,5
DeleteByIDJSON,11:01:35,11:01:35,7.324,6
DeleteByIDJSON,11:01:37,11:01:37,7.074,7
DeleteByIDJSON,11:01:38,11:01:38,7.563,8
DeleteByIDJSON,11:01:41,11:01:41,8.599,9
DeleteByIDJSON,11:01:43,11:01:43,20.724,10
DeleteByIDJSON,11:01:45,11:01:45,8.261,11
DeleteByIDJSON,11:01:46,11:01:46,7.799,12
DeleteByIDJSON,11:01:48,11:01:48,7.277,13
DeleteByIDJSON,11:01:49,11:01:49,7.875,14
DeleteByIDJSON,11:01:51,11:01:51,8.450,15
DeleteByIDJSON,11:01:54,11:01:54,9.318,16
DeleteByIDJSON,11:01:55,11:01:55,7.550,17
DeleteByIDJSON,11:01:58,11:01:58,6.873,18
DeleteByIDJSON,11:02:02,11:02:02,7.435,19
DeleteByIDJSON,11:02:05,11:02:05,7.904,20
DeleteByIDJSON,11:02:06,11:02:06,8.080,21
DeleteByIDJSON,11:02:08,11:02:08,9.175,22
DeleteByIDJSON,11:02:09,11:02:09,8.223,23
DeleteByIDJSON,11:02:11,11:02:11,8.669,24
