Nama,Masuk,Keluar,Duration,Coba
DeleteByIDPostgreSQL,15:07:07,15:07:07,0.507,4
DeleteByIDPostgreSQL,15:07:09,15:07:09,0.693,5
DeleteByIDPostgreSQL,15:07:11,15:07:11,0.510,6
DeleteByIDPostgreSQL,15:07:12,15:07:12,0.713,7
DeleteByIDPostgreSQL,15:07:14,15:07:14,0.755,8
DeleteByIDPostgreSQL,15:07:16,15:07:16,0.556,9
DeleteByIDPostgreSQL,15:07:18,15:07:18,0.663,10
DeleteByIDPostgreSQL,15:07:20,15:07:20,0.612,11
DeleteByIDPostgreSQL,15:07:21,15:07:21,0.615,12
DeleteByIDPostgreSQL,15:07:23,15:07:23,0.796,13
DeleteByIDPostgreSQL,15:07:25,15:07:25,0.567,14
DeleteByIDPostgreSQL,15:07:26,15:07:26,0.787,15
DeleteByIDPostgreSQL,15:07:29,15:07:29,1.042,16
DeleteByIDPostgreSQL,15:07:31,15:07:31,0.703,17
DeleteByIDPostgreSQL,15:07:33,15:07:33,1.131,18
DeleteByIDPostgreSQL,15:07:36,15:07:36,0.723,19
DeleteByIDPostgreSQL,15:07:38,15:07:38,0.698,20
DeleteByIDPostgreSQL,15:07:40,15:07:40,1.512,21
DeleteByIDPostgreSQL,15:07:41,15:07:41,0.758,22
DeleteByIDPostgreSQL,15:07:43,15:07:43,0.740,23
DeleteByIDPostgreSQL,15:07:44,15:07:44,0.779,24
DeleteByIDPostgreSQL,15:07:47,15:07:47,0.753,25
DeleteByIDPostgreSQL,15:07:49,15:07:49,0.722,26
DeleteByIDPostgreSQL,15:07:51,15:07:51,0.506,27
DeleteByIDPostgreSQL,15:07:54,15:07:54,0.701,28
DeleteByIDPostgreSQL,15:07:56,15:07:56,0.578,29
DeleteByIDPostgreSQL,15:07:59,15:07:59,0.505,30
GetAllJSON,14:38:48,14:38:48,8.993,1
GetAllJSON,15:08:26,15:08:26,9.812,2
GetAllJSON,15:08:29,15:08:29,8.843,3
GetAllJSON,15:08:31,15:08:31,9.734,4
GetAllJSON,15:08:32,15:08:32,9.527,5
