Nama,Masuk,Keluar,Duration,Coba
DeleteAllJSON,13:55:29,13:55:29,0.560,1
DeleteAllJSON,09:28:16,09:28:16,0.696,2
DeleteAllJSON,09:36:09,09:36:09,0.608,3
DeleteAllJSON,09:36:19,09:36:19,0.510,4
DeleteAllJSON,09:36:54,09:36:54,0.717,5
DeleteAllJSON,09:37:02,09:37:02,0.785,6
DeleteAllJSON,09:37:09,09:37:09,0.505,7
DeleteAllJSON,09:37:25,09:37:25,0.618,8
DeleteAllJSON,09:37:33,09:37:33,0.877,9
DeleteAllJSON,09:37:45,09:37:45,0.620,10
DeleteAllJSON,09:37:54,09:37:54,0.635,11
DeleteAllJSON,09:38:03,09:38:03,0.504,12
DeleteAllJSON,09:38:10,09:38:10,0.504,13
DeleteAllJSON,09:38:21,09:38:21,0.589,14
DeleteAllJSON,09:38:28,09:38:28,0.591,15
DeleteAllJSON,09:39:08,09:39:08,0.611,16
DeleteAllJSON,09:39:15,09:39:15,0.685,17
DeleteAllJSON,09:39:21,09:39:21,1.014,18
DeleteAllJSON,09:39:29,09:39:29,0.506,19
DeleteAllJSON,09:39:40,09:39:40,0.511,20
DeleteAllJSON,09:40:05,09:40:05,0.509,21
DeleteAllJSON,09:40:13,09:40:13,0.000,22
DeleteAllJSON,09:40:21,09:40:21,0.829,23
DeleteAllJSON,09:40:56,09:40:57,0.606,24
DeleteAllJSON,09:41:11,09:41:11,0.508,25
DeleteAllJSON,09:41:26,09:41:26,0.505,26
DeleteAllJSON,09:41:37,09:41:37,0.000,27
DeleteAllJSON,09:41:46,09:41:46,0.507,28
DeleteAllJSON,09:42:47,09:42:47,0.609,29
DeleteAllJSON,09:42:55,09:42:55,0.506,30
DeleteAllPostgreSQL,09:27:18,09:27:18,1.511,1
DeleteAllPostgreSQL,09:28:17,09:28:17,0.503,2
DeleteAllPostgreSQL,09:36:11,09:36:11,1.523,3
DeleteAllPostgreSQL,09:36:20,09:36:20,0.655,4
DeleteAllPostgreSQL,09:36:56,09:36:56,1.592,5
DeleteAllPostgreSQL,09:37:03,09:37:03,0.676,6
DeleteAllPostgreSQL,09:37:10,09:37:10,3.325,7
DeleteAllPostgreSQL,09:37:26,09:37:26,1.512,8
DeleteAllPostgreSQL,09:37:34,09:37:34,1.131,9
DeleteAllPostgreSQL,09:37:47,09:37:47,0.506,10
DeleteAllPostgreSQL,09:37:56,09:37:56,1.513,11
DeleteAllPostgreSQL,09:38:04,09:38:04,1.513,12
DeleteAllPostgreSQL,09:38:12,09:38:12,2.559,13
DeleteAllPostgreSQL,09:38:22,09:38:22,1.576,14
DeleteAllPostgreSQL,09:38:29,09:38:29,1.081,15
DeleteAllPostgreSQL,09:39:09,09:39:09,1.633,16
DeleteAllPostgreSQL,09:39:16,09:39:16,1.112,17
DeleteAllPostgreSQL,09:39:23,09:39:23,1.511,18
DeleteAllPostgreSQL,09:39:31,09:39:31,1.194,19
DeleteAllPostgreSQL,09:39:42,09:39:42,0.533,20
DeleteAllPostgreSQL,09:40:06,09:40:06,0.505,21
DeleteAllPostgreSQL,09:40:15,09:40:15,1.269,22
DeleteAllPostgreSQL,09:40:23,09:40:23,1.605,23
DeleteAllPostgreSQL,09:40:58,09:40:58,1.672,24
DeleteAllPostgreSQL,09:41:13,09:41:13,2.515,25
DeleteAllPostgreSQL,09:41:27,09:41:27,0.870,26
DeleteAllPostgreSQL,09:41:38,09:41:38,1.513,27
